,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3322,female,yes,no,no,9,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.45,762.5,yes
6944,male,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.1,53.05,no
2875,male,no,yes,no,22,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.1,1873.7,yes
6312,male,no,no,no,54,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.4,5643.4,yes
6435,male,no,yes,yes,52,no,no phone service,dsl,no,yes,yes,yes,yes,no,two year,no,mailed check,50.2,2554.0,no
2065,female,no,no,no,34,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,85.35,2896.6,no
682,male,no,no,no,3,yes,no,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),64.4,195.65,no
5598,female,no,yes,yes,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.15,998.1,no
2684,male,no,no,no,69,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer (automatic),105.2,7386.05,no
257,male,no,no,no,50,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),114.35,5791.1,no
2654,male,no,yes,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.75,90.75,yes
1485,male,yes,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,96.7,2082.95,yes
4898,female,no,no,no,3,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,25.25,58.9,yes
5821,female,no,yes,no,69,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,26.3,1763.55,no
1092,male,no,yes,no,70,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,credit card (automatic),64.95,4523.25,no
433,male,no,no,no,12,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),45.4,518.9,yes
6046,female,no,no,no,9,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,credit card (automatic),85.3,781.4,no
2920,female,no,yes,no,72,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,85.1,6155.4,no
4643,male,no,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,yes,mailed check,65.25,209.9,no
2125,female,no,yes,yes,67,yes,yes,dsl,yes,no,no,no,yes,yes,two year,yes,electronic check,75.5,5229.45,no
6623,male,yes,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.45,76.45,yes
6340,male,no,no,no,23,yes,yes,fiber optic,no,no,yes,yes,yes,no,month-to-month,yes,credit card (automatic),96.9,2085.45,no
566,male,no,yes,yes,15,yes,no,fiber optic,yes,no,no,yes,yes,yes,one year,no,electronic check,101.9,1667.25,no
5683,female,no,no,no,39,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,50.75,2011.4,yes
1495,female,no,yes,yes,52,yes,yes,fiber optic,yes,yes,yes,no,no,yes,month-to-month,no,bank transfer (automatic),98.15,4993.4,no
838,male,no,no,no,36,yes,no,dsl,yes,no,yes,yes,yes,yes,month-to-month,yes,credit card (automatic),79.2,2854.95,no
5393,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.6,70.6,yes
4488,female,yes,yes,no,42,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,credit card (automatic),74.15,3229.4,yes
6684,female,no,no,yes,11,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,36.05,402.6,no
3683,male,no,yes,no,71,yes,no,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),54.5,3778.2,no
